,Name,Country,Latitude,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
147,Saldanha,PT,41.42,8.02,64,0,1.82,1522179856
148,Lovozero,RU,68.01,-8.41,82,32,2.92,1522179856
149,Hilo,US,19.71,26.0,65,20,1.02,1522176780
150,Skibbereen,IE,51.55,6.0,81,75,4.6,1522177200
151,Kahului,US,20.89,23.98,74,40,6.7,1522178100
152,Hambantota,LK,6.12,26.85,100,64,1.17,1522180087
153,Lebu,ET,8.96,16.0,29,0,5.1,1522177200
154,Tabou,CI,4.42,28.65,96,0,5.47,1522180087
155,Paamiut,GL,61.99,-4.86,100,44,4.12,1522179864
156,Ust-Kuyga,RU,70.0,-28.96,57,8,1.32,1522180087
157,Sao Filipe,CV,14.9,21.27,98,0,6.37,1522180094
158,Cabedelo,BR,-6.97,29.0,62,75,6.7,1522177200
159,Hofn,IS,64.25,3.27,100,92,13.82,1522180088
160,Shingu,JP,33.72,14.65,94,0,1.62,1522180089
161,Douentza,ML,15.01,23.47,28,8,2.87,1522180095
162,Mokrousovo,RU,55.81,-1.23,92,68,4.27,1522180096
163,Praia da Vitoria,PT,38.73,19.0,82,40,7.47,1522177200
164,Pisco,PE,-13.71,24.0,73,0,3.6,1522177200
165,Qaanaaq,GL,77.48,-22.26,77,0,3.92,1522179860
166,Hami,CN,42.84,9.15,55,44,2.22,1522179860
167,Avera,US,33.19,16.82,62,90,1.87,1522176900
168,Muros,ES,42.77,9.0,87,75,3.1,1522179000
169,Vilyuysk,RU,63.75,-17.96,65,0,1.57,1522180091
170,Tiksi,RU,71.64,-27.56,50,0,3.07,1522180034
171,Longyearbyen,NO,78.22,-12.0,78,75,4.6,1522178400
172,Klaksvik,FO,62.23,5.0,86,68,13.9,1522178400
173,Hervey Bay,AU,-25.3,24.2,100,76,8.37,1522179870
174,Vila Franca do Campo,PT,37.72,17.0,82,20,5.1,1522179000
175,Ribeira Grande,PT,38.52,19.0,72,75,3.6,1522179000
176,Kavaratti,IN,10.57,28.12,100,24,1.77,1522179865
177,Kaitangata,NZ,-46.28,15.3,70,8,7.47,1522180092
178,Cidreira,BR,-30.17,21.3,97,92,6.17,1522180099
179,Ilinskiy,RU,55.62,-5.76,62,0,3.0,1522177200
180,Bambous Virieux,MU,-20.34,25.0,83,20,1.5,1522177200
181,Port Augusta,AU,-32.49,16.0,62,0,1.5,1522177200
182,Qobustan,AZ,40.08,8.0,81,0,0.92,1522177200
183,Orange Walk,JM,17.93,29.0,62,20,4.6,1522177200
184,Nador,MA,35.17,16.57,72,0,0.5,1522179000
185,Mindyak,RU,54.02,-5.0,79,75,4.0,1522177200
186,Pemba,MZ,-12.97,29.15,100,0,2.42,1522179867
187,Tual,ID,-5.67,27.6,100,88,5.82,1522179874
188,Chipinge,ZW,-20.19,21.45,97,92,1.87,1522180101
189,Mitsamiouli,KM,-11.38,27.02,100,0,1.07,1522180097
190,Palmer,US,61.6,-2.98,49,90,1.27,1522176960
191,Benjamin Constant,BR,-4.38,27.0,74,75,1.0,1522177200
192,Port Blair,IN,11.67,28.15,100,12,2.82,1522179870
193,Moroni,US,39.52,5.5,33,0,1.52,1522180105
194,Itupiranga,BR,-5.13,34.0,49,20,2.6,1522177200
195,Baruun-Urt,MN,46.68,-5.88,48,0,2.57,1522179877
196,Waingapu,ID,-9.65,21.62,100,8,1.57,1522179871
197,Ottawa,CA,45.42,4.49,48,75,4.6,1522177200
198,Balkanabat,TM,39.51,10.55,88,0,0.77,1522180106
199,Ormara,PK,25.21,26.2,65,0,5.27,1522180106
200,Yuanping,CN,38.72,3.65,62,0,1.17,1522180107
201,Masindi,UG,1.69,19.2,93,24,1.37,1522180100
202,Farmington,US,36.73,5.24,28,75,2.6,1522176780
203,Redcar,GB,54.62,7.6,70,20,5.7,1522178400
204,Mount Pleasant,US,33.16,22.7,61,40,5.7,1522178100
205,Port Hardy,CA,50.7,7.0,93,75,2.6,1522177200
206,Mendoza,AR,-32.89,27.0,26,0,4.6,1522177200
207,Novomykolayivka,UA,48.54,0.3,87,80,2.62,1522179883
208,Ust-Maya,RU,60.42,-9.86,66,80,4.32,1522180105
209,Yarmouth,GB,50.71,8.21,70,20,4.6,1522178400
210,Dunedin,NZ,-45.87,15.6,75,0,1.12,1522180112
211,Chhoti Sadri,IN,24.38,19.15,33,0,2.67,1522179878
212,Berlevag,NO,70.86,-4.64,73,40,4.6,1522176600
213,Luba,PH,17.32,16.22,86,8,1.22,1522179878
214,Adrar,DZ,27.87,20.0,12,0,5.1,1522177200
215,Lagoa,PT,37.14,16.0,87,0,1.5,1522179000
216,Perth,GB,56.4,6.36,87,40,4.1,1522178400
217,Pirajui,BR,-22.0,24.3,78,56,1.77,1522179880
218,Erzin,TR,36.95,15.86,71,0,1.5,1522178400
219,Caravelas,BR,-17.73,27.15,100,36,6.07,1522180114
220,Victoria,BN,5.28,25.49,88,75,1.0,1522179000
221,Deputatskiy,RU,69.3,-23.73,67,36,1.32,1522180007
222,Harper,US,30.3,18.27,93,90,4.6,1522178100
223,Chicama,PE,-7.84,22.0,78,75,5.1,1522177200
224,Marsa Matruh,EG,31.35,23.37,19,92,4.82,1522179883
225,Pedernales,EC,0.07,27.6,75,80,3.27,1522179889
226,Anloga,GH,5.79,29.0,83,20,5.7,1522177200
227,Lorengau,PG,-2.02,27.25,100,56,1.62,1522179890
228,Lithakia,GR,37.72,12.58,87,40,2.07,1522178400
229,Kulhudhuffushi,MV,6.62,27.4,100,36,2.07,1522180117
230,Bar Harbor,US,44.39,8.59,20,1,5.1,1522176960
231,Evansville,US,37.97,14.6,93,75,2.6,1522178100
232,Warrnambool,AU,-38.38,18.2,76,0,7.82,1522180118
233,Atuona,PF,-9.8,27.77,100,64,6.12,1522179885
234,Candolim,IN,15.52,24.77,100,8,1.82,1522179885
235,Aswan,EG,24.09,33.0,16,0,8.2,1522177200
236,Hoa Binh,VN,20.81,21.0,88,40,2.1,1522179000
237,Yar-Sale,RU,66.83,-27.11,49,0,4.12,1522179886
238,Zverinogolovskoye,RU,54.46,-3.98,85,44,5.02,1522180119
239,Suluq,LY,31.67,15.0,72,75,12.9,1522176300
240,Nalut,LY,31.86,8.95,57,36,1.97,1522179887
241,Golden,CA,51.3,4.0,69,90,3.6,1522177200
242,Bongandanga,CD,1.51,23.85,93,88,1.22,1522179887
243,Caarapo,BR,-22.63,20.85,100,92,3.22,1522179887
244,Tynset,NO,62.28,-15.0,54,0,0.5,1522178400
245,Port Lincoln,AU,-34.72,16.62,98,24,3.87,1522180120
246,Arraial do Cabo,BR,-22.97,30.0,62,20,9.3,1522177200
247,Temnikov,RU,54.63,-1.63,94,92,1.77,1522180114
248,Portland,US,45.52,9.75,81,90,3.1,1522178640
249,Norrtalje,SE,59.76,-3.48,62,0,1.5,1522178400
250,Zyryanka,RU,65.73,-17.23,71,64,3.02,1522180115
251,Kalakamati,BW,-20.59,20.0,82,40,5.7,1522177200
252,Namibe,AO,-15.19,25.85,100,100,6.22,1522180115
253,Lamar,US,38.09,11.0,37,90,2.1,1522176780
254,Gushikawa,JP,26.35,17.36,82,40,3.1,1522177200
255,Airai,TL,-8.93,19.8,91,32,0.42,1522179899
256,Ponta Delgada,PT,37.73,17.0,82,20,5.1,1522179000
257,Rawson,AR,-43.3,21.02,35,64,4.17,1522179894
258,Buraydah,SA,26.33,26.0,21,0,1.5,1522177200
259,Lavrentiya,RU,65.58,-6.81,100,88,1.52,1522179895
260,Bandarbeyla,SO,9.49,26.2,100,0,5.57,1522180116
261,Taboshar,TJ,40.57,12.0,93,90,1.0,1522177200
262,Hithadhoo,MV,-0.6,29.05,100,76,3.32,1522180123
263,Yeppoon,AU,-23.13,24.0,78,90,2.6,1522179000
264,Faanui,PF,-16.48,28.3,99,80,7.97,1522180118
265,Boa Vista,BR,2.82,34.0,44,75,6.2,1522177200
266,Heihe,RU,50.24,-1.0,100,90,8.0,1522177200
267,Port-Cartier,CA,50.03,2.0,51,75,4.1,1522177200
268,Bedburg,DE,51.0,6.2,93,90,2.6,1522178700
269,Linxia,CN,35.6,-6.36,67,0,1.12,1522180126
270,Alamogordo,US,32.9,18.99,15,1,7.7,1522178460
271,Betul,IN,21.92,17.22,63,0,1.22,1522180120
272,Lompoc,US,34.64,18.0,45,1,3.37,1522179300
273,Gizo,IL,31.8,19.42,68,0,1.0,1522178400
274,Northam,GB,51.04,7.42,81,20,4.6,1522178400
275,Cayenne,GF,4.94,29.0,66,75,7.2,1522177200
276,Takhli,TH,15.26,22.45,94,0,1.32,1522179901
277,Port Hawkesbury,CA,45.62,8.0,22,1,6.7,1522177200
278,Touros,BR,-5.2,27.27,86,80,3.87,1522179909
279,Lerwick,GB,60.15,4.0,86,92,11.8,1522178400
280,Vestmannaeyjar,IS,63.44,4.52,91,80,12.02,1522180122
281,Bathsheba,BB,13.22,29.0,70,40,6.7,1522177200
282,Tuatapere,NZ,-46.13,13.6,100,20,6.17,1522180123
283,Raudeberg,NO,61.99,-0.01,55,0,4.1,1522178400
284,Pucara,BO,-16.6,13.0,50,40,5.7,1522177200
285,Flin Flon,CA,54.77,-11.0,39,90,2.1,1522177200
286,Bud,NO,62.91,0.69,100,0,4.6,1522178400
287,Vitim,RU,59.44,-8.76,74,76,1.92,1522179906
288,Nabire,ID,-3.36,17.85,82,0,1.02,1522180124
289,Arman,RU,59.7,-7.0,100,90,9.0,1522177200
290,Paso Blanco,MX,19.87,29.5,60,32,2.67,1522180124
291,San Cristobal,EC,-0.39,21.0,46,75,6.7,1522177200
292,Guerrero Negro,MX,27.97,21.45,37,0,5.97,1522179908
293,Arlit,NE,18.74,19.75,20,0,3.32,1522180105
294,Port Macquarie,AU,-31.43,15.0,100,44,2.72,1522177200
295,Vilhena,BR,-12.74,21.25,99,88,0.97,1522180125
296,Inyonga,TZ,-6.72,17.75,98,68,0.47,1522179908
297,Marsabit,KE,2.34,23.5,75,0,3.12,1522180125
298,Vila Velha,BR,-3.71,28.0,83,75,4.1,1522177200
299,Jaunjelgava,LV,56.62,-5.21,59,12,2.02,1522180126
300,Agutaya,PH,11.15,26.95,100,8,8.47,1522180126
301,Maragogi,BR,-9.01,26.15,88,92,4.07,1522179691
302,Mayo,CA,63.59,-14.0,38,5,1.5,1522177200
303,Fortuna,ES,38.18,16.71,72,0,2.1,1522179000
304,Balsas,BR,-7.53,27.0,79,20,2.27,1522179835
305,Ambilobe,MG,-13.19,21.47,100,56,1.27,1522180127
306,Auray,FR,47.67,10.0,100,90,4.1,1522179000
307,Presidencia Roque Saenz Pena,AR,-26.79,23.22,78,0,2.07,1522180128
308,Vostok,RU,46.45,6.72,65,12,3.12,1522180128
309,Vidim,CZ,50.47,2.55,80,0,2.6,1522179000
310,Marawi,PH,8.0,13.3,95,8,0.97,1522180128
311,Aykhal,RU,65.95,-21.63,56,0,1.77,1522180128
312,Nha Trang,VN,12.24,21.97,100,68,3.72,1522179915
313,Puerto Carreno,CO,6.19,35.0,41,75,3.6,1522177200
314,Montrose,AU,-37.81,18.55,39,0,10.3,1522179000
315,Saskylakh,RU,71.97,-33.66,45,0,1.62,1522179978
316,Xiaoshi,CN,30.59,8.12,81,0,1.22,1522180129
317,Iqaluit,CA,63.75,-16.0,59,20,3.1,1522177200
318,Gigmoto,PH,13.78,25.37,100,92,6.77,1522179917
319,Lander,US,42.83,2.09,64,1,1.5,1522176780
320,Saint Lawrence,MT,36.06,13.0,71,20,6.2,1522178100
321,Mana,RS,43.52,1.91,86,75,0.5,1522179000
322,Axim,GH,4.87,28.3,98,12,3.97,1522180011
323,Alice Town,BS,25.72,21.87,100,0,9.37,1522180138
324,Poum,MK,41.28,7.0,65,40,4.1,1522177200
325,Balyaga,RU,51.15,-10.91,72,44,1.07,1522180132
326,Neunkirchen,AT,47.72,3.41,86,0,3.1,1522178400
327,Husavik,CA,50.56,2.75,100,20,2.07,1522179920
328,Vung Tau,VN,10.35,26.0,88,40,2.6,1522179000
329,Anisoc,GQ,1.87,23.2,96,92,1.02,1522179920
330,Morgan City,US,29.7,26.67,69,75,5.1,1522176960
331,Beisfjord,NO,68.38,-2.0,86,75,2.6,1522176600
332,Cabo San Lucas,MX,22.89,24.04,49,40,1.5,1522176780
333,Namwala,ZM,-15.75,23.52,76,8,5.57,1522180135
334,Nouadhibou,MR,20.93,19.0,77,0,7.7,1522177200
335,Gao,ML,16.28,28.22,18,8,5.77,1522180142
336,Tura,IN,25.52,18.75,89,56,1.42,1522180136
337,Ust-Tsilma,RU,65.44,-13.96,62,0,3.72,1522179929
338,Lamu,ID,0.57,21.75,100,20,1.02,1522179929
339,Umm Lajj,SA,25.02,23.95,79,48,1.77,1522180137
340,Lentekhi,GE,42.79,4.5,91,92,0.72,1522180144
341,Lyngseidet,NO,69.58,-2.0,92,75,2.1,1522178400
342,Kaeo,NZ,-35.1,19.0,90,92,1.62,1522179924
343,Prince Rupert,CA,54.32,6.0,81,90,2.6,1522177200
344,Ilulissat,GL,69.22,-18.0,49,20,0.5,1522176600
345,Alberton,ZA,-26.25,17.65,77,0,2.17,1522177200
346,Mizdah,LY,31.45,7.97,81,0,4.57,1522180138
347,Tomatlan,MX,19.93,29.7,48,0,2.07,1522180139
348,Hanson,US,42.08,7.27,60,1,2.1,1522178100
349,Spasskoye,RU,55.86,-4.53,92,92,5.62,1522180146
350,Sisophon,KH,13.59,24.47,90,64,3.02,1522179928
351,Saginaw,US,32.86,17.89,93,90,2.6,1522178400
352,Fare,PF,-16.7,28.12,98,68,7.82,1522180146
353,Henties Bay,NA,-22.12,19.27,87,68,4.32,1522180147
354,Chumikan,RU,54.72,-8.81,66,36,2.07,1522179929
355,Talcahuano,CL,-36.72,19.0,68,0,5.7,1522177200
356,Lebanon,US,43.64,7.48,23,1,3.6,1522178100
357,Petropavlovsk-Kamchatskiy,RU,53.05,-9.0,78,68,4.0,1522177200
358,Comodoro Rivadavia,AR,-45.87,18.0,55,40,3.6,1522177200
359,At-Bashi,KG,41.17,-4.11,95,44,1.42,1522180148
360,Calama,CL,-22.46,22.0,26,20,11.3,1522177200
361,Canguaretama,BR,-6.38,30.0,66,40,8.2,1522177200
362,Muroto,JP,33.37,9.75,100,0,2.12,1522180149
363,Araouane,ML,18.9,24.37,18,68,4.37,1522180150
364,Kurchum,KZ,48.57,-2.21,75,56,1.42,1522180150
365,Ayan,TR,40.67,5.3,76,0,2.22,1522180144
366,Tateyama,JP,36.66,-0.53,71,0,0.92,1522180151
367,Grand-Lahou,CI,5.24,27.1,78,44,2.77,1522179938
368,Rantauprapat,ID,2.1,20.8,94,20,0.97,1522180145
369,Otradnoye,RU,59.77,-6.0,67,0,2.0,1522177200
370,Omboue,GA,-1.57,28.1,100,80,3.97,1522179933
371,Guanica,PR,17.97,26.0,65,40,7.2,1522176600
372,Itarema,BR,-2.92,26.72,90,56,3.67,1522180154
373,Lamas,PE,-6.42,30.0,62,40,2.6,1522177200
374,Mao,DO,19.55,28.0,58,40,4.1,1522177200
375,Nuuk,GL,64.17,-8.0,72,90,2.1,1522176600
376,Nogales,US,31.34,13.5,17,40,4.6,1522177080
377,Huangmei,CN,30.1,11.77,90,0,1.42,1522180156
378,Belmonte,PT,40.36,7.55,73,0,1.37,1522180150
379,Kawalu,ID,-7.38,18.9,95,68,0.87,1522179936
380,La Ronge,CA,55.1,-14.0,60,75,3.1,1522177200
381,Navrongo,GH,10.89,28.97,23,44,2.97,1522180151
382,Taltal,CL,-25.41,19.22,75,0,1.62,1522180036
383,Havre-Saint-Pierre,CA,50.23,1.0,74,20,3.6,1522179720
384,Dickson,US,36.08,20.21,56,1,8.2,1522178100
385,Brae,GB,60.4,4.0,86,92,11.8,1522178400
386,Sunndalsora,NO,62.68,0.0,54,0,2.6,1522178400
387,Puerto Colombia,CO,10.99,31.0,62,20,5.1,1522177200
388,Zhoucheng,CN,31.35,7.55,88,0,1.17,1522179939
389,Altay,CN,47.83,-10.48,57,32,0.97,1522180154
390,Letka,BA,43.74,11.0,40,20,1.5,1522177200
391,Kieta,PG,-6.22,26.72,100,24,1.52,1522180155
392,Havoysund,NO,71.0,-2.88,68,40,10.3,1522178400
393,Coripata,BO,-16.31,13.0,50,40,5.7,1522177200
394,Kropotkin,RU,45.43,8.15,92,44,5.42,1522179941
395,Kalabo,ZM,-15.0,22.1,80,64,1.77,1522179941
396,Andapa,MG,-14.66,20.9,94,80,0.22,1522179941
397,Kavieng,PG,-2.57,27.4,100,88,3.92,1522179948
398,Kloulklubed,PW,7.04,27.49,83,90,5.1,1522176660
399,Sur,OM,22.57,25.05,86,0,0.87,1522180162
400,Okha,RU,53.59,-5.61,80,12,4.82,1522179943
401,Russell,AR,-33.01,27.0,26,0,4.6,1522177200
402,Tilichiki,RU,60.47,-19.11,71,68,1.17,1522179945
403,Shelburne,CA,44.08,3.36,100,90,5.1,1522179780
404,Tautira,PF,-17.73,31.0,62,75,7.2,1522179000
405,Takhtamygda,RU,54.1,-7.61,49,0,3.37,1522179952
406,Ulaanbaatar,MN,47.92,-4.0,73,0,1.22,1522177200
407,Karratha,AU,-20.74,25.62,91,0,1.92,1522179946
408,Champerico,MX,16.38,34.0,30,5,2.1,1522176780
409,Yurla,RU,59.33,-17.48,72,8,1.92,1522179947
410,Willowmore,ZA,-33.3,14.37,63,0,0.97,1522180165
411,Povolzhskiy,RU,53.59,-1.0,74,40,6.0,1522177200
412,Goderich,CA,43.74,6.87,96,92,10.02,1522180159
413,Karakol,KG,42.49,-1.41,100,80,1.07,1522179947
414,Turan,RU,52.15,-10.03,75,24,0.57,1522180166
415,Richards Bay,ZA,-28.77,21.35,88,0,4.07,1522179948
416,Manaure,CO,11.78,28.0,74,75,7.2,1522177200
417,Issia,CI,6.49,27.0,79,76,1.77,1522179955
418,Rodrigues Alves,BR,-7.74,23.0,88,90,2.6,1522177200
419,Upernavik,GL,72.79,-20.41,94,20,2.87,1522179949
420,Honningsvag,NO,70.98,-2.0,68,75,7.7,1522176600
421,Rapid Valley,US,44.06,8.14,39,1,5.7,1522179300
422,Nanortalik,GL,60.14,-2.76,100,0,13.22,1522179956
