,Name,Country,Latitude,Longitude,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
41,Faya,SA,18.39,42.45,14.0,76,0,2.6,1522710000
42,Vaini,IN,15.34,74.49,17.07,91,0,1.06,1522711582
43,Eureka,US,40.8,-124.16,12.71,47,1,7.7,1522709580
44,Talcahuano,CL,-36.72,-73.12,13.0,93,90,2.6,1522706400
45,Nanortalik,GL,60.14,-45.24,0.87,100,48,12.11,1522711460
46,Tame,CO,6.46,-71.72,15.35,96,36,0.26,1522711583
47,Tezu,IN,27.93,96.16,16.35,49,0,0.86,1522711583
48,Vestmannaeyjar,IS,63.44,-20.27,1.5,100,92,5.01,1522711583
49,Bluff,AU,-23.58,149.07,26.17,60,24,7.61,1522711584
50,Klaksvik,FO,62.23,-6.59,-1.0,74,80,5.7,1522709400
51,Butaritari,KI,3.07,172.79,28.42,99,64,6.06,1522711585
52,Xingyi,CN,24.19,102.82,12.2,86,32,1.11,1522711585
53,Sao Filipe,CV,14.9,-24.5,20.6,100,24,7.66,1522711585
54,Upernavik,GL,72.79,-56.15,-9.63,84,0,4.86,1522711594
55,Beira,ES,43.2,-8.36,10.94,81,20,3.6,1522710000
56,Avera,US,33.19,-82.53,26.4,29,1,3.1,1522709700
57,Dire,ET,9.18,38.92,9.85,88,44,1.16,1522711586
58,Atuona,PF,-9.8,-139.03,27.75,100,0,7.31,1522711595
59,Lavras,BR,-21.24,-45.0,20.25,89,56,2.21,1522711587
60,Waingapu,ID,-9.65,120.26,25.85,91,20,1.96,1522711597
61,Ushuaia,AR,-54.81,-68.31,5.0,93,75,6.7,1522706400
62,Nemuro,JP,43.32,145.57,3.97,87,32,9.91,1522711589
63,Cockburn Town,TC,21.46,-71.14,24.47,100,88,6.11,1522711573
64,Mizan Teferi,ET,6.99,35.58,14.47,91,0,1.21,1522711589
65,Locri,IT,38.24,16.26,11.26,76,0,1.5,1522709700
66,Walvis Bay,NA,-22.95,14.51,20.0,88,92,1.0,1522706400
67,Hermanus,ZA,-34.42,19.24,16.55,98,36,2.11,1522711598
68,Sao Joao da Barra,BR,-21.64,-41.05,27.0,74,0,4.1,1522706400
69,Gazli,UZ,40.13,63.45,10.5,61,20,5.16,1522711590
70,Mataura,NZ,-46.19,168.86,15.0,66,36,9.31,1522711591
71,Havelock,US,34.88,-76.9,22.94,88,20,1.5,1522709880
72,Brewster,US,41.76,-70.08,2.0,93,75,1.16,1522710900
73,Kruisfontein,ZA,-34.0,24.73,20.85,94,80,4.11,1522711591
74,Leningradskiy,RU,69.38,178.42,-2.78,91,12,2.61,1522711600
75,College,US,64.86,-147.8,-3.32,38,1,2.6,1522709880
76,Avarua,CK,-21.21,-159.78,28.0,78,75,2.6,1522710000
77,Galiakot,IN,23.54,74.01,19.7,47,0,2.11,1522711602
78,Busselton,AU,-33.64,115.35,22.05,91,0,5.71,1522711449
79,Daru,SL,7.99,-10.85,22.3,95,48,1.56,1522711322
80,Marsaxlokk,MT,35.84,14.54,12.0,76,0,2.1,1522709100
81,Tangshan,CN,39.63,118.17,8.35,63,100,9.81,1522711594
82,Mariental,DE,52.28,10.99,6.67,86,92,4.36,1522711594
83,San Patricio,PY,-26.98,-56.83,21.75,80,56,1.66,1522711594
84,Kapaa,US,22.08,-159.32,22.46,94,90,2.1,1522709760
85,Luau,CD,-10.7,22.23,18.37,95,64,1.01,1522711595
86,Hofn,IS,64.25,-15.21,-3.01,100,0,7.71,1522711595
87,Coquimbo,CL,-29.95,-71.34,18.0,63,0,3.6,1522706400
88,Ipixuna,BR,-1.76,-48.8,25.0,94,75,1.5,1522710000
89,Airai,TL,-8.93,125.41,25.12,72,0,0.66,1522711604
90,Tuy Hoa,VN,13.08,109.3,21.7,100,80,1.76,1522711318
91,Esperance,TT,10.24,-61.45,27.0,74,20,4.1,1522710000
92,Uvat,RU,59.14,68.9,-8.76,90,20,2.61,1522711597
93,Gizo,IL,31.8,34.94,17.04,82,20,1.5,1522709400
94,Cayenne,GF,4.94,-52.33,26.0,88,75,3.1,1522710000
95,Saint-Denis,FR,48.94,2.36,11.62,71,0,3.6,1522710000
96,Riyadh,SA,24.63,46.72,24.0,22,92,2.1,1522706400
97,Sitka,US,37.17,-99.65,24.6,35,0,9.96,1522711598
98,Matveyevka,UA,45.75,33.81,4.82,82,8,3.56,1522711598
99,Raha,NG,10.89,8.13,21.32,53,0,1.61,1522711319
100,Hearst,CA,49.69,-83.67,-12.06,53,48,2.61,1522711320
101,Petatlan,MX,17.52,-101.27,30.0,66,5,5.1,1522709040
102,Saldanha,PT,41.42,-6.55,9.97,80,44,6.31,1522711607
103,Saskylakh,RU,71.97,114.09,-22.81,67,0,3.86,1522711443
104,Zarand,IR,30.81,56.57,3.55,33,0,0.91,1522711599
105,Sibolga,ID,1.74,98.78,20.45,100,64,0.96,1522711599
106,Amapa,HN,15.09,-87.97,28.0,65,20,7.2,1522710000
107,Faanui,PF,-16.48,-151.75,27.95,100,48,5.66,1522711328
108,Hobart,AU,-42.88,147.33,17.0,55,75,5.7,1522710000
109,Mazarron,ES,37.6,-1.31,7.22,89,32,1.16,1522711609
110,Vigeland,NO,58.46,8.52,-2.0,86,64,1.5,1522709400
111,Sehithwa,BW,-20.47,22.7,19.0,61,0,5.01,1522711601
112,Llanes,ES,43.42,-4.75,6.1,77,0,3.36,1522711601
113,Port Macquarie,AU,-31.43,152.91,24.0,78,75,4.1,1522710000
114,Heze,CN,35.25,115.45,19.95,83,0,3.71,1522711322
115,San Quintin,PH,17.54,120.52,23.0,83,20,2.1,1522710000
116,Tasiilaq,GL,65.61,-37.64,-8.0,78,8,2.6,1522709400
117,Karasjok,NO,69.47,25.52,-4.83,88,80,3.76,1522711610
118,Minbu,MM,20.18,94.88,20.57,97,48,1.06,1522711602
119,Mecca,SA,21.43,39.83,29.0,62,0,1.06,1522706400
120,Lagoa,PT,37.14,-8.45,15.0,93,40,2.6,1522710000
121,Carnarvon,ZA,-30.97,22.13,12.72,95,56,2.11,1522711603
122,Ponta do Sol,BR,-20.63,-46.0,19.1,93,56,1.31,1522711612
123,Katsuura,JP,33.93,134.5,14.0,76,75,4.1,1522706400
124,Serowe,BW,-22.4,26.7,16.55,79,36,4.26,1522711612
125,Dikson,RU,73.51,80.55,-15.56,81,44,7.06,1522711613
126,Nome,US,30.04,-94.42,24.75,69,75,5.7,1522709700
127,Codrington,AU,-28.95,153.24,21.97,91,92,1.66,1522711605
128,Lao Cai,VN,22.48,103.95,17.57,95,92,0.56,1522711605
129,Qeshm,IR,26.96,56.27,23.03,83,0,3.1,1522710000
130,Wajir,KE,1.75,40.07,21.22,98,80,2.56,1522711606
131,Christchurch,NZ,-43.53,172.64,26.0,34,0,4.1,1522710000
132,Torbay,CA,47.66,-52.73,1.0,64,75,7.2,1522710000
133,Kavieng,PG,-2.57,150.8,28.47,100,56,3.91,1522711607
134,Northam,GB,51.04,-4.21,9.0,100,40,5.7,1522705800
135,Provideniya,RU,64.42,-173.23,-4.0,100,90,2.0,1522708200
136,Bambous Virieux,MU,-20.34,57.76,26.0,88,75,2.1,1522710000
137,Norman Wells,CA,65.28,-126.83,-11.0,47,75,7.2,1522710000
138,Castro,CL,-42.48,-73.76,13.47,97,88,1.16,1522711617
139,Mackay,CA,53.65,-115.58,-1.5,30,20,2.1,1522710000
140,East Millcreek,US,40.7,-111.81,6.03,80,90,6.7,1522709880
141,Port Hardy,CA,50.7,-127.42,5.0,75,90,4.1,1522710000
142,Thompson,CA,55.74,-97.86,-13.0,32,20,3.6,1522710000
143,Sao Desiderio,BR,-12.36,-44.97,24.87,68,20,2.61,1522711618
144,Mosetse,BW,-20.64,26.64,22.05,40,0,6.16,1522711610
145,Rocha,UY,-34.48,-54.34,18.2,95,68,4.01,1522711619
146,Georgetown,GY,6.8,-58.16,24.0,100,75,2.71,1522710000
147,Lorengau,PG,-2.02,147.27,27.2,100,64,2.81,1522711611
148,Pevek,RU,69.7,170.27,0.1,84,8,6.01,1522711611
149,Mwinilunga,ZM,-11.73,24.43,16.75,99,24,1.01,1522711620
150,Egvekinot,RU,66.32,-179.17,1.05,90,12,1.36,1522711612
151,Vila Franca do Campo,PT,37.72,-25.43,15.0,67,40,9.3,1522710000
152,Kizhinga,RU,51.85,109.91,-10.66,50,0,1.91,1522711456
153,Komsomolskiy,RU,67.55,63.78,-25.58,43,0,1.41,1522711612
154,Dargaville,NZ,-35.94,173.86,21.75,62,12,0.71,1522711621
155,Andreapol,RU,56.65,32.27,-0.16,99,92,6.56,1522711613
156,Conde,BR,-11.81,-37.61,25.37,90,24,2.61,1522711613
157,Hauterive,FR,46.09,3.45,11.52,50,0,8.7,1522710000
158,Zhengjiatun,CN,43.51,123.51,3.32,63,76,5.81,1522711331
159,Kajaani,FI,64.22,27.73,-3.0,92,90,3.1,1522709400
160,Bougouni,ML,11.42,-7.49,23.57,68,36,1.01,1522711614
161,Khawhai,IN,23.52,93.19,14.95,94,0,0.51,1522711615
162,Yellowknife,CA,62.45,-114.38,-14.0,46,20,5.7,1522710000
163,Imeni Poliny Osipenko,RU,52.42,136.49,-2.16,61,68,3.46,1522711332
164,Charters Towers,AU,-20.07,146.27,21.6,95,100,5.46,1522711615
165,Preobrazheniye,RU,42.9,133.91,4.7,44,76,2.86,1522711615
166,Bilma,NE,18.69,12.92,16.6,37,36,1.26,1522711624
167,Tanete,ID,-3.94,119.78,27.07,86,0,2.01,1522711616
168,Mazagao,BR,-0.12,-51.29,24.22,100,80,2.61,1522711625
169,Punta Cardon,VE,11.61,-70.22,29.0,66,20,8.51,1522706400
170,Cherskiy,RU,68.75,161.3,-0.03,76,0,3.26,1522711617
171,Japura,ID,-0.42,102.29,22.37,98,44,1.21,1522711333
172,Kapuskasing,CA,49.42,-82.43,-9.0,43,20,5.7,1522710000
173,Wexford,US,40.63,-80.06,4.58,60,1,2.1,1522709760
174,Atambua,ID,-9.11,124.89,26.97,100,0,1.31,1522711619
175,Dongsheng,CN,29.72,112.52,20.0,93,0,5.06,1522711619
176,Kodiak,US,39.95,-94.76,-1.0,100,90,5.7,1522709580
177,Svarstad,NO,59.4,9.97,-3.52,100,24,1.0,1522709400
178,Broome,GB,52.47,1.45,9.39,100,92,4.6,1522709760
179,Wewak,PG,-3.55,143.63,27.22,89,36,1.16,1522711629
180,Ribeira Grande,PT,38.52,-28.7,16.05,100,48,12.21,1522711346
181,Puerto Ayacucho,CO,5.66,-67.63,33.0,49,75,1.5,1522710000
182,Salalah,OM,17.01,54.1,27.0,78,75,2.6,1522709400
183,Longyearbyen,NO,78.22,15.63,-12.0,60,20,7.7,1522709400
184,Kovernino,RU,57.13,43.81,2.05,93,92,6.81,1522711325
185,Linhares,BR,-19.38,-40.06,25.6,71,8,4.51,1522711630
186,Necochea,AR,-38.55,-58.74,15.45,78,0,4.11,1522711631
187,Vanderhoof,CA,54.02,-124.02,-1.18,39,32,1.21,1522711631
188,Dongning,CN,44.06,131.12,5.32,41,64,3.91,1522711336
189,Qaanaaq,GL,77.48,-69.36,-19.56,74,0,3.46,1522711623
190,Praia da Vitoria,PT,38.73,-27.07,15.0,67,20,14.36,1522710000
191,Fairbanks,US,64.84,-147.72,-3.32,38,1,2.6,1522709880
192,Bethel,US,60.79,-161.76,-1.0,68,1,8.7,1522709580
193,Jiayuguan,CN,39.77,98.29,-4.88,63,20,0.76,1522711337
194,Anori,BR,-3.74,-61.66,25.42,92,36,2.01,1522711634
195,Lompoc,US,34.64,-120.46,15.83,67,75,5.7,1522710660
196,San Jose,PH,15.79,120.99,22.1,100,76,1.21,1522711635
197,Klamath Falls,US,42.22,-121.78,8.0,28,1,2.6,1522709580
198,Itarema,BR,-2.92,-39.92,25.1,94,36,2.86,1522711337
199,Gbarnga,LR,7.0,-9.47,21.62,98,24,0.96,1522711338
200,Casambalangan,PH,18.38,122.13,25.47,100,32,5.81,1522711627
201,Hualmay,PE,-11.1,-77.61,20.75,77,48,1.91,1522711466
202,East London,ZA,-33.02,27.91,23.97,98,76,5.46,1522711459
203,Sturgeon Bay,US,44.83,-87.38,0.68,82,90,4.6,1522709760
204,Valparaiso,US,41.47,-87.06,6.0,45,1,4.1,1522710900
205,Sinnamary,GF,5.38,-52.96,26.07,100,92,3.86,1522711628
206,Atar,MR,20.52,-13.05,18.45,31,0,2.86,1522711629
207,Rawson,AR,-43.3,-65.11,20.1,33,0,3.16,1522711637
208,Evensk,RU,61.92,159.24,0.97,90,92,6.11,1522711468
209,Pemba,MZ,-12.97,40.52,24.0,94,75,3.6,1522706400
210,Erdenet,MN,49.03,104.04,-14.63,73,0,1.21,1522711630
211,Pak Chong,TH,14.71,101.42,22.32,92,44,1.41,1522711638
212,Khorlovo,RU,55.33,38.81,1.0,96,90,6.0,1522708200
213,Sovetskiy,RU,56.76,48.47,0.05,92,76,6.91,1522711632
214,Ishinomaki,JP,38.42,141.3,9.0,100,75,1.5,1522706400
215,Clyde River,CA,70.47,-68.59,-11.0,85,90,9.3,1522710480
216,Saint-Philippe,CA,45.36,-73.48,3.5,44,1,6.7,1522710000
217,Smithers,CA,54.78,-127.17,1.0,31,90,4.1,1522710000
218,Khani,GE,41.96,42.96,9.0,93,90,8.2,1522708200
219,Colares,PT,38.8,-9.45,14.51,87,75,4.1,1522710000
220,Victoria,BN,5.28,115.24,25.56,100,75,0.26,1522710000
221,Lata,IN,30.78,78.62,9.35,73,68,1.06,1522711644
222,Peterhead,AU,-34.83,138.5,18.0,63,75,4.1,1522710000
223,Kandla,IN,23.02,70.21,23.32,100,0,4.46,1522711351
224,Saint Anthony,US,43.97,-111.68,0.72,54,90,6.2,1522709760
225,Tromso,NO,69.65,18.96,-9.0,78,0,1.5,1522709400
226,Myitkyina,MM,25.38,97.4,17.3,90,20,1.56,1522711637
227,Bushehr,IR,28.97,50.84,22.0,56,0,3.1,1522709400
228,Salinopolis,BR,-0.61,-47.36,26.12,100,80,4.96,1522711637
229,Abatskoye,RU,56.29,70.46,-8.58,83,8,4.71,1522711637
230,Zhigansk,RU,66.77,123.37,-11.43,64,64,3.86,1522711396
231,Madang,PG,-5.21,145.81,25.32,100,64,1.31,1522711638
232,Biscarrosse,FR,44.41,-1.18,12.55,81,0,4.1,1522710000
233,Goderich,CA,43.74,-81.71,1.87,62,92,2.46,1522711638
234,Tilichiki,RU,60.47,166.1,1.92,93,92,5.76,1522711638
235,Hithadhoo,MV,-0.6,73.08,28.97,100,80,3.31,1522711613
236,Kahului,US,20.89,-156.47,24.53,78,40,10.8,1522709640
237,Ostrovnoy,RU,68.05,39.51,-3.96,94,92,9.21,1522711403
238,Iqaluit,CA,63.75,-68.52,-2.0,86,90,13.4,1522710000
239,Kinsale,IE,51.71,-8.52,8.0,100,75,4.1,1522708200
240,Contamana,PE,-7.35,-75.01,24.0,95,24,0.91,1522711647
241,Mmabatho,ZA,-25.85,25.61,16.0,87,20,2.1,1522710000
242,Quelimane,MZ,-17.88,36.89,25.0,88,75,1.0,1522710000
243,San Juan,PR,18.47,-66.12,26.0,74,40,6.2,1522709760
244,Isangel,VU,-19.55,169.27,26.85,100,56,7.01,1522711643
245,Kaitangata,NZ,-46.28,169.85,14.87,63,0,10.71,1522711643
246,Vilyuysk,RU,63.75,121.63,-15.06,52,0,2.56,1522711652
247,Tuatapere,NZ,-46.13,167.69,13.35,99,0,9.66,1522711652
248,Marrakesh,MA,31.63,-7.99,16.0,55,75,1.5,1522710000
249,Ancud,CL,-41.87,-73.83,13.47,96,48,1.61,1522711455
250,Waipawa,NZ,-39.94,176.59,21.67,54,24,6.71,1522711356
251,Kodino,RU,63.72,39.64,5.32,96,92,6.36,1522711645
252,Harstad,NO,68.8,16.53,-6.58,73,48,2.1,1522709400
253,Moose Factory,CA,51.26,-80.61,-14.0,60,40,5.1,1522710540
254,Labuhan,ID,-2.54,115.51,23.6,93,32,1.21,1522711654
255,Mashivka,UA,49.44,34.87,1.2,97,0,4.26,1522711349
256,Koumac,NC,-20.56,164.28,23.8,100,100,5.26,1522711349
257,Lakatoro,VU,-16.11,167.42,26.2,100,92,1.86,1522711646
258,Texistepec,MX,17.89,-94.82,28.0,61,5,5.1,1522708860
259,Leh,IN,34.16,77.58,-14.78,90,76,0.41,1522711395
260,Ust-Kulom,RU,61.69,53.69,-1.96,89,92,4.81,1522711647
261,Henties Bay,NA,-22.12,14.28,20.8,90,92,2.21,1522711350
262,Mahebourg,MU,-20.41,57.7,26.0,88,75,2.1,1522710000
263,Sanwer,IN,22.97,75.83,21.2,28,0,3.26,1522711350
264,Praia,BR,-20.25,-43.81,24.0,69,20,1.0,1522710000
265,Lakes Entrance,AU,-37.88,147.99,17.7,85,20,2.86,1522711647
266,Poum,MK,41.28,20.71,-0.91,92,0,0.96,1522711647
267,Vidisha,IN,23.52,77.8,21.0,36,0,3.51,1522711359
268,Djibo,BF,14.1,-1.63,29.12,58,88,1.31,1522711360
269,Miyazu,JP,35.58,135.2,17.8,86,0,1.66,1522711352
270,Kendari,ID,-3.99,122.52,25.72,94,32,1.61,1522711656
271,Ha Giang,VN,22.83,104.99,18.95,100,92,0.76,1522711648
272,Cuite,BR,-6.48,-36.15,24.25,81,88,3.91,1522711649
273,Pedernales,EC,0.07,-80.05,23.35,88,24,3.01,1522711649
274,Nikolskoye,RU,59.7,30.79,2.0,93,90,3.0,1522708200
275,Male,UA,50.74,33.7,-0.58,88,20,4.86,1522711650
276,Sitrah,BH,26.15,50.62,23.46,53,0,3.1,1522710000
277,Asosa,ET,10.07,34.53,16.32,85,32,1.31,1522711650
278,Baoding,CN,38.86,115.49,10.5,65,88,8.36,1522711363
279,Dunedin,NZ,-45.87,170.5,16.45,47,0,5.91,1522711603
280,Traverse City,US,44.76,-85.62,1.19,40,90,2.6,1522710900
281,Carbonia,IT,39.17,8.53,12.07,100,0,2.1,1522709700
282,Tongliao,CN,43.61,122.27,3.6,33,80,6.26,1522711456
283,Rongcheng,CN,37.16,122.42,8.97,93,92,6.06,1522711651
284,Samut Sakhon,TH,13.55,100.27,24.5,83,20,1.5,1522708200
285,Guerrero Negro,MX,27.97,-114.04,18.1,65,0,5.06,1522711482
286,Ambilobe,MG,-13.19,49.05,21.17,92,8,1.66,1522711652
287,Gat,SN,14.69,-16.54,20.0,77,0,2.1,1522710000
288,Kiama,AU,-34.67,150.86,18.0,88,75,2.1,1522708200
289,Moussoro,TD,13.64,16.49,22.67,18,0,4.66,1522711366
290,Mehamn,NO,71.03,27.85,-3.63,89,56,5.01,1522711358
291,Gorontalo,ID,0.54,123.06,25.67,88,8,0.96,1522711653
292,Shimoda,JP,34.7,138.93,16.3,100,12,2.41,1522711654
293,Chuy,UY,-33.69,-53.46,19.37,97,64,2.31,1522711662
294,Puerto Escondido,MX,15.86,-97.07,28.0,74,40,3.1,1522705500
295,Tigzirt,DZ,36.57,4.2,17.82,46,88,1.61,1522711663
296,Hasaki,JP,35.73,140.83,12.74,82,75,3.1,1522708200
297,Aripuana,BR,-9.17,-60.63,23.45,98,24,1.16,1522711396
298,Burnie,AU,-41.05,145.91,16.55,100,56,8.16,1522711359
299,Talnakh,RU,69.49,88.39,-29.56,61,12,1.26,1522711655
300,Bathsheba,BB,13.22,-59.52,25.0,83,20,6.2,1522710000
301,Palmer,AU,-34.85,139.16,18.0,63,75,4.1,1522710000
302,Hambantota,LK,6.12,81.12,26.6,100,32,3.01,1522711656
303,West Bay,GB,50.71,-2.76,9.67,93,80,4.6,1522705800
304,Lazaro Cardenas,MX,28.39,-105.62,31.0,8,40,9.3,1522709280
305,Vao,EE,59.1,26.19,-1.13,91,92,6.46,1522711666
306,Det Udom,TH,14.9,105.08,22.0,88,20,1.5,1522706400
307,Los Llanos de Aridane,ES,28.66,-17.92,18.0,72,20,4.1,1522710000
308,Ahmadpur East,PK,29.14,71.26,23.37,69,36,6.16,1522711361
309,Port Alberni,CA,49.24,-124.81,9.48,39,75,2.6,1522710000
310,Tacuati,PY,-23.46,-56.74,22.75,82,44,1.16,1522711667
311,Luwuk,ID,-0.95,122.79,27.2,94,8,0.96,1522711659
312,Mirnyy,RU,56.57,36.46,1.55,95,92,6.06,1522711659
313,Cabo San Lucas,MX,22.89,-109.91,29.69,21,5,6.7,1522709160
314,Matadi,CD,-5.83,13.46,24.42,98,92,1.51,1522711668
315,Seymchan,RU,62.93,152.39,-1.41,83,80,2.66,1522711372
316,Havre-Saint-Pierre,CA,50.23,-63.6,-5.0,67,40,4.6,1522710000
317,Menongue,AO,-14.66,17.68,16.7,98,76,0.91,1522711660
318,Wukari,NG,7.87,9.78,28.2,67,24,7.46,1522711661
319,Muros,ES,42.77,-9.06,10.0,93,75,7.2,1522710000
320,Grand Forks,US,47.91,-97.06,-6.0,62,90,6.7,1522710900
321,Zhangye,CN,38.94,100.46,-0.58,62,0,2.11,1522711661
322,Ostroh,UA,50.33,26.52,1.8,94,12,4.46,1522711366
323,Maceio,BR,-9.67,-35.74,25.0,88,20,2.1,1522710000
324,Yulara,AU,-25.24,130.99,21.0,46,0,3.1,1522706400
325,Khandyga,RU,62.65,135.58,-1.41,55,44,3.06,1522711367
326,Ishige,JP,36.12,139.97,13.61,82,75,3.1,1522708200
327,Ucluelet,CA,48.94,-125.55,8.0,61,75,7.2,1522710000
328,Venancio Aires,BR,-29.61,-52.19,18.17,100,64,0.66,1522711662
329,Grindavik,IS,63.84,-22.43,0.0,100,90,6.2,1522708200
330,Mishelevka,RU,52.86,103.17,-13.76,67,0,1.86,1522711663
331,Kalmunai,LK,7.42,81.82,21.32,100,12,1.31,1522711663
332,Palana,RU,59.08,159.95,2.47,81,32,1.21,1522711663
333,Shingu,JP,33.72,135.99,17.0,82,0,1.0,1522708800
334,Biak,ID,-0.91,122.88,27.2,94,8,0.96,1522711664
335,Porto Walter,BR,-8.27,-72.74,25.42,90,24,0.96,1522711394
336,Hoquiam,US,46.98,-123.89,10.58,53,75,8.2,1522709580
337,Diapaga,BF,12.07,1.79,22.97,50,0,1.11,1522711664
338,Yarada,IN,17.65,83.27,29.07,94,0,3.86,1522711664
339,Jala,PK,33.36,71.93,17.82,99,76,1.51,1522711665
340,Flin Flon,CA,54.77,-101.88,-12.0,32,20,2.6,1522710000
341,Antalaha,MG,-14.9,50.28,23.45,100,92,2.96,1522711665
342,Batagay,RU,67.65,134.64,-2.16,64,64,1.96,1522711486
343,Namatanai,PG,-3.66,152.44,28.12,100,56,1.36,1522711665
344,Constitucion,MX,23.99,-104.67,28.0,7,5,6.2,1522708920
345,Brokopondo,SR,5.06,-54.98,25.0,94,75,2.1,1522710000
346,Nezhinka,RU,51.77,55.37,-3.0,73,0,4.0,1522708200
347,Chicama,PE,-7.84,-79.15,20.0,88,75,5.1,1522710000
348,Prattville,US,32.46,-86.46,25.53,47,1,2.6,1522709760
349,Villa Bruzual,VE,9.33,-69.12,31.0,66,20,1.81,1522710000
350,Caravelas,BR,-17.73,-39.27,27.32,100,0,7.06,1522711667
351,Nerchinskiy Zavod,RU,51.31,119.61,-7.38,39,68,3.46,1522711676
352,Abu Zabad,SD,12.35,29.25,18.7,28,0,2.76,1522711668
353,Pontes e Lacerda,BR,-15.23,-59.33,20.8,97,92,1.76,1522711677
354,Yankton,US,42.87,-97.4,2.0,69,75,5.1,1522709760
355,Kalamare,BW,-22.93,26.57,16.05,89,36,3.86,1522711671
356,Tura,IN,25.52,90.21,17.5,88,0,1.11,1522711679
357,Udachnyy,RU,66.42,112.4,-17.46,60,0,2.21,1522711671
358,North Bend,US,43.41,-124.22,9.42,61,75,5.1,1522709760
359,Nishihara,JP,35.74,139.53,14.63,72,40,2.1,1522709760
360,Majene,ID,-3.54,118.97,27.17,100,12,2.71,1522711376
361,Katangli,RU,51.71,143.23,1.12,85,0,10.46,1522711680
362,Mahalapye,BW,-23.11,26.83,19.57,81,92,3.36,1522711672
363,Mount Gambier,AU,-37.83,140.78,17.3,77,12,1.61,1522711681
364,Davila,PH,18.47,120.58,23.0,83,20,2.1,1522710000
365,Vostok,RU,46.45,135.83,-0.33,67,48,3.06,1522711673
366,Jizan,SA,16.89,42.56,26.0,57,0,0.71,1522710000
367,Kangundo,KE,-1.3,37.35,17.0,93,75,3.1,1522710000
368,Manzhouli,CN,49.6,117.43,-6.81,29,0,8.21,1522711551
369,Vikulovo,RU,55.07,40.96,3.25,96,92,7.26,1522711378
370,Comodoro Rivadavia,AR,-45.87,-67.48,26.0,36,0,9.3,1522706400
371,Sesheke,NA,-17.47,24.29,18.25,71,0,3.01,1522711674
372,Sangmelima,CM,2.93,11.98,20.35,95,32,1.06,1522711378
